"scientific_name","scientific_name_type","kingdom","establishment_means","is_invasive","occurrence_status","checklist.name","checklist.iso_countrycode_alpha3","accepted_name.species","accepted_name.kingdom","accepted_name.phylum","accepted_name.class","accepted_name.order","accepted_name.family","accepted_name.habitat"
"Spathodea campanulata P.Beauv.","species","Plantae","alien","null","present","Cape Verde (Cabo Verde)","CPV","Spathodea campanulata","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Bignoniaceae","[""terrestrial""]"
"Rivina humilis L.","species","Plantae","alien","null","present","Cape Verde (Cabo Verde)","CPV","Rivina humilis","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Phytolaccaceae","[""terrestrial""]"
"Physalis peruviana L.","species","Plantae","alien","null","present","Cape Verde (Cabo Verde)","CPV","Physalis peruviana","Plantae","Tracheophyta","Magnoliopsida","Solanales","Solanaceae","[""terrestrial""]"
"Foeniculum vulgare Mill.","species","Plantae","alien","null","present","Cape Verde (Cabo Verde)","CPV","Foeniculum vulgare","Plantae","Tracheophyta","Magnoliopsida","Apiales","Apiaceae","[""terrestrial""]"
"Dichrostachys cinerea (L.) Wight & Arn.","species","Plantae","alien","null","present","Cape Verde (Cabo Verde)","CPV","Dichrostachys cinerea","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]"
"Indigofera suffruticosa Mill.","species","Plantae","alien","null","present","Cape Verde (Cabo Verde)","CPV","Indigofera suffruticosa","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]"
"Physalis angulata L.","species","Plantae","alien","null","present","Cape Verde (Cabo Verde)","CPV","Physalis angulata","Plantae","Tracheophyta","Magnoliopsida","Solanales","Solanaceae","[""terrestrial""]"
"Pithecellobium dulce (Roxb.) Benth.","species","Plantae","alien","null","present","Cape Verde (Cabo Verde)","CPV","Pithecellobium dulce","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]"
"Colocasia esculenta (L.) Schott","species","Plantae","alien","null","present","Cape Verde (Cabo Verde)","CPV","Colocasia esculenta","Plantae","Tracheophyta","Liliopsida","Alismatales","Araceae","[""terrestrial"",""freshwater""]"
"Prosopis velutina Wooton","species","Plantae","alien","null","present","Cape Verde (Cabo Verde)","CPV","Prosopis velutina","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]"
"Leucaena leucocephala (Lam.) de Wit","species","Plantae","alien","invasive","present","Cape Verde (Cabo Verde)","CPV","Leucaena leucocephala","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]"
"Lantana camara L.","species","Plantae","alien","invasive","present","Cape Verde (Cabo Verde)","CPV","Lantana camara","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Verbenaceae","[""terrestrial""]"
"Bactrocera dorsalis (Hendel, 1912)","species","Animalia","alien","null","present","Cape Verde (Cabo Verde)","CPV","Bactrocera dorsalis","Animalia","Arthropoda","Insecta","Diptera","Tephritidae","[""terrestrial""]"
"Heterotis niloticus (Cuvier, 1829)","species","Animalia","alien","null","present","Cape Verde (Cabo Verde)","CPV","Heterotis niloticus","Animalia","Chordata","Actinopterygii","Osteoglossiformes","Arapaimidae","[""freshwater""]"
"Xyleborus perforans Wood & Bright, 1992","species","Animalia","alien","invasive","present","Cape Verde (Cabo Verde)","CPV","Xyleborus perforans","Animalia","Arthropoda","Insecta","Coleoptera","Curculionidae","[""terrestrial""]"
"Furcraea foetida Haw.","species","Plantae","alien","invasive","present","Cape Verde (Cabo Verde)","CPV","Furcraea foetida","Plantae","Tracheophyta","Liliopsida","Asparagales","Asparagaceae","[""terrestrial""]"
"Rattus rattus (Linnaeus, 1758)","species","Animalia","alien","null","present","Cape Verde (Cabo Verde)","CPV","Rattus rattus","Animalia","Chordata","Mammalia","Rodentia","Muridae","[""terrestrial""]"
"Carduelis carduelis (Linnaeus, 1758)","species","Animalia","alien","null","present","Cape Verde (Cabo Verde)","CPV","Carduelis carduelis","Animalia","Chordata","Aves","Passeriformes","Fringillidae","[""terrestrial""]"
"Lantana camara L.","species","Plantae","alien","invasive","present","Cape Verde (Cabo Verde)","CPV","Lantana camara","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Verbenaceae","[""terrestrial""]"
"Mesosphaerum pectinatum Kuntze","species","Plantae","alien","null","present","Cape Verde (Cabo Verde)","CPV","Mesosphaerum pectinatum","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Lamiaceae","[""terrestrial""]"
